	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
0.tree	tree	bd		0.385857	0.366314	0.405877	0.209804	0.19186	0.228873	0			0.209804			0.598837	0.598837	0.598837
0.tree	tree	bdct		0.327359	0.309511	0.345473	0.0957386	0.0831561	0.110042	0.703815	0.65639	0.749515	26.9804	24.1119	30.1188	0.598837	0.598837	0.598837
0.tree	tree	real	905	0.3173241070066314			0.053145722787587876			0.699818017100889			26.195811894689584			0.5988369461157733		
1.tree	tree	bd		1.64995	1.56299	1.73945	0.606202	0.538826	0.678637	0			0.606202			0.621693	0.621693	0.621693
1.tree	tree	bdct		1.57301	1.48244	1.66632	0.256458	0.210555	0.308897	0.47782	0.420893	0.535444	13.6376	11.5876	16.046	0.621693	0.621693	0.621693
1.tree	tree	real	730	1.5348294772532871			0.19595689675078481			0.5039804277373457			10.501229681579298			0.621692864854137		
2.tree	tree	real	947	0.46962617906013454			0.07999187729142948			0.4450411414632059			23.74108100708749			0.5540853381704638		
2.tree	tree	bdct		0.459401	0.436123	0.483232	0.132464	0.116031	0.150581	0.468776	0.425744	0.511834	27.3708	24.14	30.9469	0.554085	0.554085	0.554085
2.tree	tree	bd		0.510869	0.485973	0.535651	0.254395	0.231629	0.278231	0			0.254395			0.554085	0.554085	0.554085
3.tree	tree	bdct		1.50096	1.41893	1.58571	0.333194	0.285182	0.386582	0.372667	0.330451	0.416776	110.236	93.9838	128.605	0.661017	0.661017	0.661017
3.tree	tree	bd		1.56689	1.48508	1.65163	0.618655	0.552909	0.68823	0			0.618655			0.661017	0.661017	0.661017
3.tree	tree	real	782	1.5082770972727864			0.24885348360386417			0.3274295549630646			101.31610192115207			0.6610174633680287		
4.tree	tree	real	677	0.06765366277651351			0.05365783471818055			0.0553583580214924			14.979827006634373			0.5340603015521301		
4.tree	tree	bd		0.0745485	0.0699517	0.0793165	0.056385	0.0511926	0.0611531	0			0.056385			0.53406	0.53406	0.53406
4.tree	tree	bdct		0.0731472	0.068638	0.0779152	0.053234	0.048337	0.0580021	0.0590178	0.0387308	0.0838288	20.1037	12.2731	32.039	0.53406	0.53406	0.53406
5.tree	tree	bdct		0.143909	0.135536	0.152491	0.0600645	0.0526814	0.068647	0.519858	0.469599	0.570498	5.80036	5.04358	6.64506	0.407914	0.407914	0.407914
5.tree	tree	bd		0.173147	0.163733	0.182682	0.114169	0.104444	0.124658	0			0.114169			0.407914	0.407914	0.407914
5.tree	tree	real	751	0.13836888319096455			0.04839816400250214			0.4571757834244387			6.444934729010657			0.4079140195585978		
6.tree	tree	bd		0.8073	0.760843	0.854945	0.277016	0.238741	0.318966	0			0.277016			0.463982	0.463982	0.463982
6.tree	tree	real	502	0.7149168204986024			0.10388718790415756			0.2778760850871267			7.936955416804142			0.4639815942942584		
6.tree	tree	bdct		0.767727	0.720555	0.816327	0.151885	0.122415	0.185258	0.30277	0.247184	0.362007	12.0507	9.30889	15.6958	0.463982	0.463982	0.463982
7.tree	tree	real	667	0.7500014618476339			0.08296404958831673			0.5854706531182822			40.32763615467106			0.3991742073163217		
7.tree	tree	bdct		0.740555	0.700111	0.782486	0.168491	0.140357	0.20091	0.589691	0.537863	0.641781	40.3845	35.249	46.0688	0.399174	0.399174	0.399174
7.tree	tree	bd		0.862432	0.817846	0.909122	0.442321	0.398361	0.48903	0			0.442321			0.399174	0.399174	0.399174
8.tree	tree	bdct		0.200823	0.194579	0.207497	0.0582513	0.0502004	0.0668339	0.350517	0.315603	0.38667	21.5309	18.9875	24.3285	0.0774515	0.0774515	0.0774515
8.tree	tree	bd		0.255458	0.245518	0.265946	0.149739	0.137538	0.163088	0			0.149739			0.0774515	0.0774515	0.0774515
8.tree	tree	real	987	0.20177167749714794			0.05283768658620456			0.3069702625824186			21.402197682887344			0.0774514964645563		
9.tree	tree	bdct		0.377285	0.358912	0.396351	0.144486	0.129914	0.160696	0.0376169	0.023511	0.0554737	76.068	44.5715	125.607	0.65474	0.65474	0.65474
9.tree	tree	bd		0.379822	0.361325	0.398888	0.152411	0.137625	0.168621	0			0.152411			0.65474	0.65474	0.65474
9.tree	tree	real	925	0.3638289510733564			0.14397948291720938			0.0401913252563374			55.15939055260372			0.6547404628778554		
10.tree	tree	bd		1.66349	1.57013	1.75965	0.887035	0.797912	0.980412	0			0.887035			0.492943	0.492943	0.492943
10.tree	tree	real	645	1.2924466919865536			0.23576968792021805			0.614286270864708			116.24098242380691			0.4929426769452535		
10.tree	tree	bdct		1.37659	1.29398	1.46231	0.400801	0.339113	0.469438	0.63833	0.58285	0.692722	101.349	88.3619	115.782	0.492943	0.492943	0.492943
11.tree	tree	bd		0.266147	0.252164	0.280448	0.0741219	0.0626966	0.0865188	0			0.0741219			0.371988	0.371988	0.371988
11.tree	tree	real	525	0.2591147389317051			0.061040697547437794			0.0966678853388031			27.06138925692918			0.371987925091807		
11.tree	tree	bdct		0.263341	0.248994	0.278596	0.0519455	0.0423932	0.0624353	0.144372	0.111663	0.181973	29.1209	21.0678	39.5585	0.371988	0.371988	0.371988
12.tree	tree	bdct		2.23058	2.12879	2.3362	0.232623	0.191003	0.280296	0.125032	0.0976817	0.155793	82.8379	62.5585	108.806	0.347477	0.347477	0.347477
12.tree	tree	real	717	2.2202328248806724			0.23889316359075385			0.0891488218957103			69.1643440893682			0.3474770849532346		
12.tree	tree	bd		2.19766	2.10435	2.29377	0.355091	0.301147	0.415151	0			0.355091			0.347477	0.347477	0.347477
13.tree	tree	bd		1.10991	1.0444	1.1785	0.872919	0.806503	0.942476	0			0.872919			0.456431	0.456431	0.456431
13.tree	tree	real	685	0.9642217135736832			0.5273686515990001			0.4186442225310807			65.87118216380047			0.4564306894824998		
13.tree	tree	bdct		0.954681	0.895075	1.01661	0.573075	0.516091	0.633122	0.436157	0.386749	0.486815	76.4421	65.0721	89.3036	0.456431	0.456431	0.456431
14.tree	tree	bdct		0.258034	0.237954	0.27901	0.211859	0.192915	0.231882	0.358238	0.299465	0.419657	10.4888	8.25474	13.2538	0.725207	0.725207	0.725207
14.tree	tree	bd		0.272529	0.251846	0.294457	0.269492	0.248516	0.29142	0			0.269492			0.725207	0.725207	0.725207
14.tree	tree	real	555	0.23664397239969584			0.20234019685957386			0.4016064194956875			9.860093672579517			0.7252072148012677		
15.tree	tree	bdct		1.41386	1.32556	1.50529	0.220808	0.180453	0.267528	0.323041	0.277613	0.370639	96.5991	78.9616	116.764	0.735137	0.735137	0.735137
15.tree	tree	bd		1.4122	1.32744	1.49981	0.415818	0.358295	0.478735	0			0.415818			0.735137	0.735137	0.735137
15.tree	tree	real	594	1.4168004927780151			0.17779392764259683			0.2640886672836235			80.1117255948627			0.7351368410142322		
16.tree	tree	bdct		0.271547	0.25728	0.285848	0.0817879	0.0710583	0.0932311	0.0745691	0.0384502	0.117045	2.60866	1.5945	5.01053	0.675794	0.675794	0.675794
