	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
0.tree	tree	bd		0.574479	0.556558	0.592588	0.166255	0.142371	0.192954	0			0.166255			0.0820059	0.0820059	0.0820059
0.tree	tree	bdct		0.582975	0.561378	0.60585	0.0476507	0.0367169	0.0610015	0.230335	0.197045	0.265662	15.6187	13.0974	18.4899	0.0820059	0.0820059	0.0820059
0.tree	tree	real	729	0.5681746121284681			0.061365677983347966			0.2313844093702582			13.13361878260166			0.082005859894991		
1.tree	tree	bd		0.267794	0.254246	0.282095	0.126929	0.113155	0.141232	0			0.126929			0.341362	0.341362	0.341362
1.tree	tree	bdct		0.240829	0.228651	0.253224	0.0517463	0.0422314	0.0622362	0.442368	0.394848	0.49029	16.6742	14.2583	19.3367	0.341362	0.341362	0.341362
1.tree	tree	real	659	0.23720448113204376			0.05518155918299009			0.4788185521024252			14.554126476129923			0.3413621869751534		
2.tree	tree	real	593	0.7749808565377819			0.198327895815674			0.2162403393577566			61.18904256552661			0.6290055886002177		
2.tree	tree	bdct		0.788184	0.741291	0.83583	0.183348	0.154144	0.215767	0.188314	0.15227	0.227947	75.9631	58.0065	97.533	0.629006	0.629006	0.629006
2.tree	tree	bd		0.790788	0.744511	0.838434	0.270179	0.234955	0.308316	0			0.270179			0.629006	0.629006	0.629006
3.tree	tree	bdct		0.925929	0.875347	0.978333	0.244758	0.203814	0.289569	0.386454	0.338148	0.436784	51.4656	43.0725	61.0051	0.356812	0.356812	0.356812
3.tree	tree	bd		1.03274	0.978335	1.08895	0.504845	0.449737	0.56299	0			0.504845			0.356812	0.356812	0.356812
3.tree	tree	real	592	0.9097016980087776			0.2744588032625925			0.4502765873130923			53.33996167623351			0.356812441281789		
4.tree	tree	real	798	0.17893611504957896			0.051865752996402024			0.5309462341117653			14.978351330957613			0.4996094081044821		
4.tree	tree	bd		0.204741	0.194395	0.216183	0.106593	0.0966935	0.117082	0			0.106593			0.499609	0.499609	0.499609
4.tree	tree	bdct		0.184742	0.174694	0.195231	0.050168	0.0424855	0.057797	0.484185	0.438793	0.52952	13.8982	12.1899	15.8018	0.499609	0.499609	0.499609
5.tree	tree	bdct		0.51373	0.489195	0.540419	0.0420737	0.0305217	0.0563782	0.600334	0.547571	0.652634	5.2402	4.56228	5.99363	0.109003	0.109003	0.109003
5.tree	tree	bd		0.62027	0.591242	0.650769	0.327885	0.291493	0.366019	0			0.327885			0.109003	0.109003	0.109003
5.tree	tree	real	586	0.49750100061768926			0.05335703609438352			0.7133395644223949			5.091912381440227			0.1090028642023568		
