	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
0.tree	tree	bd		2.24256	2.17087	2.31868	0.794637	0.690782	0.906128	0			0.794637			0.0676598	0.0676598	0.0676598
0.tree	tree	bdct		2.10854	2.04628	2.1723	0.37193	0.299483	0.456776	0.177064	0.143865	0.213228	21.944	16.8373	29.3421	0.0676598	0.0676598	0.0676598
0.tree	tree	real	745	2.090942861761148			0.25150908990131193			0.1657407560549053			15.210353117993588			0.0676597885416799		
1.tree	tree	bd		0.399044	0.378054	0.42097	0.219067	0.200327	0.23909	0			0.219067			0.71862	0.71862	0.71862
1.tree	tree	bdct		0.355191	0.33513	0.376165	0.123001	0.108704	0.139211	0.588059	0.539245	0.637138	13.5632	11.9921	15.2871	0.71862	0.71862	0.71862
1.tree	tree	real	901	0.3291364004468174			0.05537144414262921			0.5633963442679257			12.363270682938184			0.7186197455985328		
2.tree	tree	real	849	1.8135625095755292			0.31015311892465397			0.2307614598858495			68.71713885812606			0.6233074003815366		
2.tree	tree	bdct		1.84345	1.75079	1.93864	0.371874	0.318271	0.431933	0.281589	0.243641	0.321579	74.9155	62.7597	89.1775	0.623307	0.623307	0.623307
2.tree	tree	bd		1.90174	1.80986	1.99502	0.624387	0.554987	0.698728	0			0.624387			0.623307	0.623307	0.623307
3.tree	tree	bdct		0.225229	0.212091	0.238577	0.104303	0.0930044	0.1167	0.350567	0.305377	0.397498	8.44619	7.10034	10.0173	0.591169	0.591169	0.591169
3.tree	tree	bd		0.245869	0.232477	0.26017	0.152804	0.139758	0.166153	0			0.152804			0.591169	0.591169	0.591169
3.tree	tree	real	800	0.22175976376136877			0.08483805376460675			0.3770902586597999			7.282598736910806			0.5911694875560745		
4.tree	tree	real	813	0.14475892562835613			0.05255361480724618			0.3413883377391321			7.100417053902966			0.4832121770658713		
4.tree	tree	bd		0.165913	0.156894	0.175448	0.104626	0.095721	0.114162	0			0.104626			0.483212	0.483212	0.483212
4.tree	tree	bdct		0.149092	0.140994	0.157674	0.0685258	0.0611401	0.0771083	0.35523	0.312214	0.399936	8.32675	7.04922	9.78983	0.483212	0.483212	0.483212
5.tree	tree	bdct		0.385135	0.367879	0.403248	0.160918	0.142802	0.179988	0.315303	0.276506	0.355422	17.1892	14.6546	20.0837	0.253367	0.253367	0.253367
5.tree	tree	bd		0.448533	0.429303	0.468551	0.26736	0.24551	0.290242	0			0.26736			0.253367	0.253367	0.253367
5.tree	tree	real	887	0.37489812009800383			0.12567517502897063			0.2745747411496148			16.522759165324114			0.2533670102591506		
6.tree	tree	bd		1.55407	1.4843	1.62548	0.581917	0.514408	0.654354	0			0.581917			0.305172	0.305172	0.305172
6.tree	tree	real	679	1.543468019466482			0.20644554058358114			0.2513211823157008			51.86650041077249			0.3051721583547582		
