	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
0.tree	tree	bd		0.589139	0.567313	0.612013	0.0801	0.0683586	0.0934504	0			0.0801			0.334401	0.334401	0.334401
0.tree	tree	bdct		0.58914	0.567314	0.612014	0.0800995	0.0683582	0.0934499	1e-06	1e-06	0.00293068	78.3081	0.001	500000.0	0.334401	0.334401	0.334401
0.tree	tree	real	960	0.6019797830572728			0.07459793529341098			0			0.07459793529341098			0.3344006087435304		
1.tree	tree	bd		2.42518	2.31569	2.53744	0.342117	0.298145	0.390738	0			0.342117			0.734891	0.734891	0.734891
1.tree	tree	bdct		2.42518	2.31569	2.53744	0.342116	0.298144	0.390737	1e-06	1e-06	0.0117197	16.8885	0.001	500000.0	0.734891	0.734891	0.734891
1.tree	tree	real	992	2.4685691176670463			0.31711401502699826			0			0.31711401502699826			0.7348909633991523		
2.tree	tree	real	618	0.42332981548179394			0.055362400758424926			0			0.055362400758424926			0.3981211930320578		
2.tree	tree	bdct		0.429573	0.408647	0.451498	0.0534542	0.043619	0.0648977	0.00563413	1e-06	0.0269975	9.27686	0.001	500000.0	0.398121	0.398121	0.398121
2.tree	tree	bd		0.428966	0.408069	0.450891	0.0545568	0.0445149	0.0660003	0			0.0545568			0.398121	0.398121	0.398121
3.tree	tree	bdct		1.86575	1.76377	1.97046	0.267038	0.220793	0.32043	1e-06	1e-06	0.0263682	16.61	0.001	500000.0	0.493143	0.493143	0.493143
3.tree	tree	bd		1.86576	1.76378	1.97047	0.267082	0.220829	0.320473	0			0.267082			0.493143	0.493143	0.493143
3.tree	tree	real	535	1.8993400093434336			0.2820842158566389			0			0.2820842158566389			0.4931431544749625		
4.tree	tree	real	633	0.2118589870412784			0.07163980730155668			0			0.07163980730155668			0.5651826645893037		
4.tree	tree	bd		0.220617	0.208606	0.233012	0.075924	0.0665585	0.0864137	0			0.075924			0.565183	0.565183	0.565183
4.tree	tree	bdct		0.220617	0.208606	0.233012	0.075924	0.0665585	0.0864137	1e-06	1e-06	0.0234385	0.075924	0.001	500000.0	0.565183	0.565183	0.565183
5.tree	tree	bdct		0.374481	0.359892	0.389734	0.049249	0.0424639	0.0578316	0.000537823	1e-06	0.0190825	48.9021	0.001	500000.0	0.423004	0.423004	0.423004
5.tree	tree	bd		0.374403	0.359817	0.389656	0.0493428	0.0425446	0.0569718	0			0.0493428			0.423004	0.423004	0.423004
5.tree	tree	real	998	0.37960295813882006			0.047803854533010316			0			0.047803854533010316			0.423004191652205		
6.tree	tree	bd		0.400047	0.389915	0.410533	0.103031	0.088683	0.119242	0			0.103031			0.0507632	0.0507632	0.0507632
6.tree	tree	real	944	0.3940918425868577			0.10389154096240884			0			0.10389154096240884			0.0507632027975056		
6.tree	tree	bdct		0.400045	0.389913	0.410532	0.10303	0.088682	0.119241	1e-06	1e-06	0.00488381	0.10303	0.001	500000.0	0.0507632	0.0507632	0.0507632
7.tree	tree	real	716	0.2950714878763922			0.11126760688814363			0			0.11126760688814363			0.4405543767888381		
7.tree	tree	bdct		0.290269	0.276145	0.30457	0.114371	0.101086	0.128675	1e-06	1e-06	0.0292978	0.114371	0.001	500000.0	0.440554	0.440554	0.440554
7.tree	tree	bd		0.290269	0.276145	0.30457	0.114371	0.101085	0.128675	0			0.114371			0.440554	0.440554	0.440554
8.tree	tree	bdct		0.193102	0.181846	0.204544	0.0553593	0.0468657	0.0648955	1e-06	1e-06	0.04004	0.0553593	0.001	500000.0	0.559413	0.559413	0.559413
