	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
68.tree	tree	bd		0.642229	0.617181	0.667962	0.143724	0.120866	0.169469	0			0.143724			0.198082	0.198082	0.198082
68.tree	tree	bdct		0.636605	0.610536	0.664244	0.10314	0.0839884	0.125072	0.0973335	0.0714796	0.127305	28.9591	20.5796	40.4808	0.198082	0.198082	0.198082
68.tree	tree	real	621	0.6152675815099646			0.08704211195956102			0.1035312144045827			22.477656778538616			0.198082413167892		
69.tree	tree	bd		0.843235	0.797997	0.890878	0.697049	0.646749	0.749465	0			0.697049			0.0509863	0.0509863	0.0509863
69.tree	tree	real	629	0.32124370192738183			0.08082177442355543			0.7419834518928071			22.248904602272653			0.0509863426632791		
69.tree	tree	bdct		0.408806	0.387301	0.431685	0.182269	0.156778	0.210874	0.702312	0.647444	0.755222	21.9992	19.4729	24.7669	0.0509863	0.0509863	0.0509863
70.tree	tree	bdct		0.295097	0.279588	0.311305	0.0720511	0.0609494	0.084448	0.232378	0.191531	0.276607	12.5713	9.9581	15.7573	0.408509	0.408509	0.408509
70.tree	tree	bd		0.308296	0.292691	0.324503	0.111799	0.097949	0.127056	0			0.111799			0.408509	0.408509	0.408509
70.tree	tree	real	632	0.28676110959344314			0.054726631958437376			0.2228113529547801			10.295026839499618			0.4085088922055481		
71.tree	tree	bd		0.492617	0.466692	0.519307	0.253903	0.230193	0.278692	0			0.253903			0.524266	0.524266	0.524266
71.tree	tree	real	775	0.4137219131695245			0.05724527777271603			0.5161021923740406			24.603969360103388			0.5242659827875857		
71.tree	tree	bdct		0.414119	0.39072	0.438904	0.129357	0.112309	0.148428	0.575652	0.524496	0.627038	22.5846	19.7947	25.6858	0.524266	0.524266	0.524266
72.tree	tree	bdct		0.378426	0.362946	0.395586	0.139503	0.119485	0.161434	0.488235	0.44151	0.535214	39.9354	35.0716	45.3162	0.0565861	0.0565861	0.0565861
72.tree	tree	bd		0.594575	0.565592	0.625075	0.428327	0.394942	0.463598	0			0.428327			0.0565861	0.0565861	0.0565861
72.tree	tree	real	724	0.35607802320483345			0.09996214163995541			0.4351178246513801			41.9828241890962			0.0565860532610415		
73.tree	tree	bd		0.774884	0.74012	0.810143	0.166044	0.143479	0.190835	0			0.166044			0.465993	0.465993	0.465993
73.tree	tree	bdct		0.772649	0.734218	0.81172	0.0913238	0.0750937	0.109442	0.240795	0.203171	0.280831	17.0843	13.68	21.1066	0.465993	0.465993	0.465993
73.tree	tree	real	771	0.7462908481175122			0.07632079666698915			0.1769900026844786			12.801996731494553			0.4659930958875933		
